"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00042772"," 1"," TR18 "," Photovoltaic "," Domestic"," 0.1 "," 2009-08-01"," Deemed "," PV-R/0-4/01 "," England"," South West "," Cornwall "," R04210RWEN ","  "
" FIT00325469"," 1"," BR8 "," Photovoltaic "," Domestic"," 0.18 "," 2011-12-09"," Deemed "," PV-R/0-4/02 R "," England"," South East "," Sevenoaks "," MCS-00245326-Y ","  "
" FIT00150136"," 1"," PL28 "," Photovoltaic "," Domestic"," 0.18 "," 2011-01-17"," Deemed "," PV-R/0-4/02 "," England"," South West "," Cornwall "," MCS-00031019-Y ","  "
" FIT00574967"," 1"," FY1 "," Photovoltaic "," Domestic"," 0.2 "," 2014-08-25"," Deemed "," PV-R/0-4/05H-2 "," England"," North West "," Blackpool "," MCS-00664202-E ","  "
" FIT00354359"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00370302-N ","  "
" FIT00039795"," 1"," L4 "," Photovoltaic "," Domestic"," 0.2 "," 2009-08-22"," Deemed "," PV-R/0-4/01 "," England"," North West "," Liverpool "," R03977RWEN "," Solarite "
" FIT00356663"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00370310-N ","  "
" FIT00356746"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00370311-P ","  "
" FIT00357165"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00371342-D ","  "
" FIT00354407"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00370303-J ","  "
" FIT00164436"," 1"," G76 "," Photovoltaic "," Domestic"," 0.2 "," 2011-11-17"," Deemed "," PV-R/0-4/02 "," Scotland"," N/A "," East Renfrewshire "," MCS-00169131-G ","  "
" FIT00357185"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00371351-B ","  "
" FIT00357147"," 1"," G64 "," Photovoltaic "," Domestic"," 0.2 "," 2012-07-12"," Deemed "," PV-N/0-4/03 H "," Scotland"," N/A "," East Dunbartonshire "," MCS-00371339-K ","  "
" FIT00709031"," 1"," GL52 "," Photovoltaic "," Domestic"," 0.2 "," 2015-12-07"," Deemed "," PV-N/0-4/06H-2 "," England"," South West "," Tewkesbury "," MCS-00913755-N ","  "
