Patent,Year,Class
6317433,1998,370/370/370
6004150,1997,439/439/439
5852655,1997,379/379
5898761,1997,379/379/379
6014431,1997,379/379/379
6114897,1998,327/327/327
6239672,1998,333/333/333/333/379
6282273,1998,379/379/379
6434700,1998,713/713/713/713/713
5770950,1995,326/333/333/375/375/375
5751710,1996,370/370/370/710
6118791,1996,370/370/370/370/709
6188698,1998,370/370/370/370/370
6226266,1997,370/370
6400681,1997,370/370/370/370/370/370/709/709
6424624,1998,370/370/370/709
6175570,1996,370/370/370/370/370
6181711,1997,370/370/375/375/375
6335990,1997,382/348/348/348/348/348/348/375/382/382
5952741,1998,307/307/307/307/307
5854901,1996,709/709/709/709/709
6151390,1998,379/370/370/379/379
6570869,1998,370/370
5799017,1996,370/348/348/348/348/370/370/370/370
5864542,1996,370/348/348/348/348/370/370
5905726,1996,370/348/348/348/370/370/725
6345051,1998,370/370/370/370/370/370/370
5793987,1996,710/713
6163824,1998,710
6181708,1997,370/370
5691997,1995,714/370
5742649,1995,375/370/370/375/375
6091725,1995,370/370/370
6343072,1997,370/370/370/709
6377577,1998,370/370/370
6385208,1998,370/370/370
6389506,1998,711/365
6108655,1997,1/707/715/712/712/709/719/707
6205465,1998,718/709/718
6226788,1998,717/709/717
6301613,1998,709
6327618,1998,709/370/707/709/709
6505228,1998,718/709
6769124,1998,719/711/711/707/707/711/707
5805595,1996,370/370/370
6052379,1998,370/370/370
6141377,1998,375/375/379/379/379/455
6292491,1998,370/370/370
6546024,1998,370/370/375
6678282,1998,370/370
6167027,1997,370/370/370/370
5740171,1996,370/370
5796732,1996,370/370
6147993,1997,370/370
6151325,1997,370/370
6286039,1998,709/709/709/709/709/709/710
5666353,1995,370
5970067,1996,370/370/370/370
5999524,1996,370/370/370
6028858,1996,370/370/370/370/370
6272351,1997,455/348/455/455
6501768,1998,370/370/370/455/455/455
5898688,1996,370/370/370
6078504,1997,361/174/361/361/361/361/361/361/361/361/361/361/361
5737635,1996,710/709/709/709/710
5953345,1998,370/370/370
6047308,1997,709
6222822,1997,370/370/370
6101399,1995,455/342/375/455/455
6044081,1997,370/370
6304576,1998,370/370
6807185,1997,370/370
7701924,1998,370/370/370
6061348,1995,370/370/370
